Source,Target,Type,Ports
"37","41",Undirected,"1p17-284,15p6-1280"
"30","30",Undirected,"10p6-0"
"2","19",Undirected,"1p17-282,1p6-20"
"24","5",Undirected,"1p6-10"
"4","22",Undirected,"1p17-284,1p6-16"
"54","56",Undirected,"2p17-71"
"57","35",Undirected,"1p17-282,1p6-10"
"38","14",Undirected,"1p6-20"
"27","4",Undirected,"1p6-10"
"20","44",Undirected,"11p6-2752,1p17-282,1p6-30"
"46","4",Undirected,"9p6-22142,1p6-16,10p6-69423"
"45","33",Undirected,"1528p6-297,1682p6-27385,1615p6-207,1556p6-15,1527p6-4243,1427p6-7165,1766p6-3995,1800p6-2722,1663p6-9442,276p6-372,1643p6-756,50p6-45,2025p6-83,1728p6-1203,1705p6-12774,2110p6-35,1746p6-18990,1761p6-699,1640p6-5903,1726p6-13205,728p6-21042,31p6-259296,1638p6-9132,1639p6-99521,1604p6-8643,1485p6-7787"
"44","19",Undirected,"1p17-280,1p6-20"
"53","4",Undirected,"1p6-22"
"4","15",Undirected,"1p6-16"
"37","14",Undirected,"1p6-10"
"44","2",Undirected,"1p6-10"
"49","29",Undirected,"1p17-282,1p6-10"
"6","16",Undirected,"1p6-10"
"36","9",Undirected,"1p17-284,1p6-30,19p6-506"
"37","34",Undirected,"1p17-280"
"3","24",Undirected,"1p17-286"
"14","20",Undirected,"1p6-10"
"58","59",Undirected,"73p17-5"
"18","2",Undirected,"1p17-282,1p6-10,2p6-1830"
"57","31",Undirected,"1p6-22"
"24","2",Undirected,"1p17-282"
"48","5",Undirected,"1p6-10"
"10","31",Undirected,"1p6-44"
"26","45",Undirected,"1p17-284,1p6-30,31p6-152443"
"37","26",Undirected,"1p6-10"
"22","17",Undirected,"1p17-284,2p17-780,6p6-3785"
"35","38",Undirected,"1p17-282"
"15","7",Undirected,"1p17-284,1p6-10,907p6-3689,12p6-12774"
"28","2",Undirected,"1p6-10"
"48","16",Undirected,"1p6-10"
"5","25",Undirected,"8p6-385"
"35","43",Undirected,"1p6-10,31p6-67463"
"60","59",Undirected,"73p17-5"
"40","2",Undirected,"1p6-10"
"27","2",Undirected,"1p17-284,1p6-10"
"46","35",Undirected,"1p6-36"
"13","22",Undirected,"1p6-16"
"9","2",Undirected,"1p17-282,1p6-10"
"16","13",Undirected,"1p17-280,55p6-5971"
"39","47",Undirected,"20p6-63008,1p17-280,18p6-0,1p6-16,23p6-200"
"31","45",Undirected,"1p17-282,1p6-32"
"17","3",Undirected,"1p17-282,1p6-23"
"51","47",Undirected,"1p6-32"
"38","5",Undirected,"1p17-284"
"7","13",Undirected,"1p17-280,1p6-78"
"6","39",Undirected,"1p6-23,2p17-1380,6p6-2948"
"36","31",Undirected,"38p6-390,8p6-544,1p17-284,1p6-16,19p6-486,39p6-390,42p6-626,41p6-380,40p6-1145"
"49","19",Undirected,"1p17-284,1p6-42"
"34","15",Undirected,"1p17-280,1p6-20"
"43","3",Undirected,"1p6-10"
"46","48",Undirected,"1p17-280,1p6-26,12p6-42188"
"22","41",Undirected,"1p17-284,1p6-30"
"53","43",Undirected,"1p17-280,1p6-32"
"27","43",Undirected,"1p17-282,31p6-41683"
"24","48",Undirected,"1p17-280,1p6-10,12p6-39126"
"5","43",Undirected,"1p17-284,1p6-26"
"42","40",Undirected,"1p6-20,3p17-14"
"51","49",Undirected,"1p17-278,1p6-33,33p6-894383"
"38","57",Undirected,"1p17-282"
"5","21",Undirected,"1p6-26"
"21","51",Undirected,"1p17-282,1p6-20"
"62","59",Undirected,"73p17-5"
"15","61",Undirected,"771p6-360"
"41","45",Undirected,"1p6-10,31p6-3551"
"6","32",Undirected,"1p17-280,1p6-20"
"15","35",Undirected,"52p6-1635,1p6-10"
"35","4",Undirected,"1p17-280,1p6-10"
"9","14",Undirected,"1p17-280"
"2","40",Undirected,"1p17-280,3p17-22,1p6-20"
"30","53",Undirected,"1p17-282,1p6-32"
"23","26",Undirected,"1p17-282,1p6-10"
"40","21",Undirected,"1p17-280"
"31","6",Undirected,"772p6-534"
"63","59",Undirected,"73p17-5,74p17-3"
"34","51",Undirected,"1p6-40"
"23","3",Undirected,"1p6-10"
"10","43",Undirected,"1p17-284,1p6-64"
"18","3",Undirected,"1p17-282"
"17","6",Undirected,"1p17-280"
"1","9",Undirected,"1p17-280,1p6-26"
"27","18",Undirected,"1p17-280,1p6-10"
"36","25",Undirected,"8p6-554,40p6-2845"
"18","41",Undirected,"1p6-10"
"1","7",Undirected,"1p17-284,12p6-11651"
"34","1",Undirected,"1p17-280,1p6-16"
"13","32",Undirected,"1p17-282,1p6-16"
"3","11",Undirected,"1p17-280,1p6-26"
"40","45",Undirected,"1p17-282,31p6-25332"
"16","15",Undirected,"1p17-280,1p6-50,15p6-9956,14p6-5503,13p6-2943"
"20","38",Undirected,"1p6-10"
"42","43",Undirected,"31p6-85352"
"3","28",Undirected,"1p6-10"
"14","46",Undirected,"1p6-16"
"57","38",Undirected,"1p6-32"
"20","7",Undirected,"1p6-10,12p6-264"
"32","29",Undirected,"1p17-282,1p6-30"
"24","33",Undirected,"1p6-20"
"9","5",Undirected,"1p17-282,1p6-42"
"33","12",Undirected,"1p17-158,1p6-30,3p6-36,2p6-2851"
"24","4",Undirected,"1p6-16"
"21","19",Undirected,"1p17-282"
"12","18",Undirected,"1p17-282"
"4","10",Undirected,"1p6-44"
"17","25",Undirected,"8p6-576"
"37","49",Undirected,"43p6-70,33p6-3822"
"15","39",Undirected,"4p17-4,5p6-1080,2p17-5270,4p6-378,6p6-11248"
"36","42",Undirected,"24p6-515,52p6-380,19p6-484,54p6-380,25p6-513,53p6-380"
"34","5",Undirected,"11p6-2164,1p17-234"
"29","27",Undirected,"1p17-284"
"27","23",Undirected,"1p17-282,3p17-14,1p6-20"
"48","51",Undirected,"1p6-31"
"40","46",Undirected,"1p17-284,1p6-16"
"36","23",Undirected,"47p6-685,48p6-380,45p6-380,49p6-380,1p17-282,3p17-28,18p6-4841,19p6-600,2p17-1868,46p6-390,44p6-340,21p6-420"
"57","18",Undirected,"1p17-282,1p6-16"
"41","9",Undirected,"1p6-10"
"11","6",Undirected,"1p17-280,772p6-503"
"50","14",Undirected,"1p17-282,1p6-10"
"11","43",Undirected,"1p6-10"
"34","14",Undirected,"1p6-10"
"30","6",Undirected,"1p17-284,1p6-30"
"51","15",Undirected,"1p17-284,1p6-10"
"27","11",Undirected,"1p17-280,775p6-14700,1p6-16"
"40","26",Undirected,"1p6-20"
"44","12",Undirected,"1p6-30"
"4","38",Undirected,"1p17-282,1p6-16"
"27","17",Undirected,"1p17-282,1p6-13,2p17-5786,6p6-32345"
"64","66",Undirected,"3p17-8"
"49","26",Undirected,"1p17-284,1p6-16"
"39","36",Undirected,"6p6-0"
"67","68",Undirected,"2300p6-1684,2p17-1119"
"32","21",Undirected,"1p6-20"
"5","49",Undirected,"1p17-284,1p6-38"
"46","6",Undirected,"1p17-280,1p6-10"
"4","28",Undirected,"1p17-282"
"17","39",Undirected,"774p6-0,6p6-0"
"14","25",Undirected,"8p6-1124"
"30","46",Undirected,"9p6-24700,1p6-10,10p6-46971"
"10","41",Undirected,"1p17-280"
"37","48",Undirected,"1p17-282,1p6-10,12p6-33478"
"20","21",Undirected,"1p6-30,767p6-14198"
"30","10",Undirected,"1p17-282"
"34","33",Undirected,"1p6-10"
"45","39",Undirected,"1p6-10,2p17-2752,6p6-2452"
"36","47",Undirected,"20p6-62977,22p6-380,1p17-282,19p6-474,1p6-32"
"44","5",Undirected,"766p6-112683,1p17-284,1p6-42"
"17","47",Undirected,"20p6-62792,1p6-19"
"29","23",Undirected,"1p6-10,3p17-14"
"39","35",Undirected,"1p6-26,18p6-0,23p6-200"
"9","3",Undirected,"1p6-20"
"14","24",Undirected,"1p17-284"
"18","32",Undirected,"1p6-10"
"24","14",Undirected,"1p6-10"
"16","21",Undirected,"1p6-20,12p6-7081"
"40","3",Undirected,"1p17-284"
"15","30",Undirected,"9p6-108,1p6-10"
"2","41",Undirected,"1p17-284,1p6-30"
"51","33",Undirected,"1528p6-343,1615p6-180,1556p6-42,1527p6-4260,1427p6-7426,1766p6-4223,1800p6-2807,1663p6-9349,1643p6-703,276p6-346,50p6-45,1p6-20,1728p6-1521,1705p6-11995,1746p6-23316,1761p6-506,1640p6-5458,1492p6-5357,1726p6-13682,728p6-20282,31p6-194236,1639p6-92054,1638p6-9265,1604p6-8811,1485p6-7866"
"15","32",Undirected,"1p6-10"
"14","31",Undirected,"1p17-282"
"34","29",Undirected,"1p17-282,1p6-10"
"22","27",Undirected,"1p17-284"
"1","44",Undirected,"11p6-14596,1p17-282,1p6-16"
"3","50",Undirected,"1p17-284,1p6-20"
"26","35",Undirected,"1p6-10"
"51","46",Undirected,"1p6-10"
"50","13",Undirected,"1p17-284,1p6-38,36p6-59041,55p6-3286"
"11","30",Undirected,"1p6-22"
"27","40",Undirected,"3p17-14"
"43","8",Undirected,"1p17-280"
"34","2",Undirected,"1p17-282"
"24","1",Undirected,"1p17-282,1p6-20"
"69","59",Undirected,"73p17-5,74p17-3"
"23","18",Undirected,"1p17-284"
"38","12",Undirected,"1p6-10"
"51","40",Undirected,"3p17-28,1p6-20"
"14","38",Undirected,"1p17-280"
"38","6",Undirected,"1p17-282,1p6-20"
"45","47",Undirected,"1p17-284,1p6-32"
"31","3",Undirected,"1p17-280,1p6-16,3p6-6388"
"40","9",Undirected,"1p17-282,1p6-20"
"21","25",Undirected,"8p6-380"
"3","13",Undirected,"1p17-282,1p6-18"
"7","45",Undirected,"1p6-20"
"9","12",Undirected,"1p6-10"
"46","49",Undirected,"1p6-16"
"16","14",Undirected,"1p17-282,1p6-10"
"16","28",Undirected,"11p6-10292,1p6-10"
"8","3",Undirected,"1p17-50,1p6-20"
"9","37",Undirected,"1p6-10"
"17","48",Undirected,"1p17-284,1p6-10,12p6-83739"
"44","37",Undirected,"1p17-282"
"23","21",Undirected,"1p6-20"
"4","33",Undirected,"1p17-276,1p6-16"
"29","25",Undirected,"8p6-1081"
"30","11",Undirected,"1p17-278"
"6","31",Undirected,"1p17-282"
"5","3",Undirected,"1p17-280,1p6-16"
"53","42",Undirected,"1p17-282,1p6-16"
"2","57",Undirected,"1p17-282,2p6-7629"
"15","3",Undirected,"1p17-284,1p6-10"
"7","51",Undirected,"1p17-280,1p6-20"
"27","10",Undirected,"1p6-16"
"20","29",Undirected,"1p6-10"
"7","25",Undirected,"8p6-374"
"33","4",Undirected,"9p6-252,10p6-114"
"102","265",Undirected,"3p17-3"
"2","12",Undirected,"1p17-282,1p6-10"
"37","28",Undirected,"1p6-16"
"48","6",Undirected,"1p6-10"
"16","20",Undirected,"1p17-282,1p6-10"
"47","44",Undirected,"11p6-24301,1p6-16"
"4","49",Undirected,"1p6-22"
"43","9",Undirected,"1p6-10"
"31","20",Undirected,"1p17-282,1p6-16"
"22","48",Undirected,"1p6-20,12p6-28449"
"50","57",Undirected,"1p17-282,1p6-16,2p6-10784"
"6","19",Undirected,"1p6-10"
"35","50",Undirected,"1p6-30"
"50","24",Undirected,"1p6-36"
"3","46",Undirected,"1p6-10"
"70","71",Undirected,"2301p6-7288,15p6-7280"
"47","22",Undirected,"1p6-16"
"48","42",Undirected,"24p6-600,1p17-282,1p6-20"
"11","15",Undirected,"1p17-278,1p6-26,14p6-1440"
"39","49",Undirected,"1p6-19,18p6-0,23p6-200"
"41","19",Undirected,"1p6-20"
"36","36",Undirected,"4p6-0,6p6-0"
"35","23",Undirected,"1p17-282,3p17-26,1p6-10"
"173","59",Undirected,"74p17-3"
"13","38",Undirected,"1p17-280,1p6-10"
"36","22",Undirected,"19p6-522,1p6-10,921p6-17502"
"50","15",Undirected,"1p17-280,1p6-10"
"47","17",Undirected,"4p17-6,1p17-284,1p6-51,2p17-32348,4p6-27363,6p6-18742"
"20","12",Undirected,"1p17-282,1p6-20"
"48","12",Undirected,"1p6-20"
"23","7",Undirected,"1p6-40,12p6-7324"
"53","36",Undirected,"1p17-284,1p6-10,2p17-220,6p6-1884"
"35","41",Undirected,"1p6-10,15p6-1820"
"12","53",Undirected,"1p6-32"
"33","57",Undirected,"1p6-30,2p6-4926"
"46","31",Undirected,"1p6-22"
"42","14",Undirected,"1p6-20"
"24","32",Undirected,"1p6-10"
"72","59",Undirected,"74p17-3"
"45","23",Undirected,"1p17-280,1p6-30,3p17-12"
"6","48",Undirected,"1p17-286,12p6-44761"
"7","44",Undirected,"1p17-282,1p6-10"
"27","12",Undirected,"1p6-10"
"18","16",Undirected,"1p17-282,1p6-20"
"2","17",Undirected,"4p17-4,1p17-282,1p6-23,2p17-224,6p6-3466"
"8","5",Undirected,"1p6-64"
"16","2",Undirected,"1p6-10,2p6-2939"
"73","59",Undirected,"73p17-5,74p17-3"
"2","51",Undirected,"1p17-282,1p6-10"
"26","50",Undirected,"1p6-20"
"13","30",Undirected,"1p6-16"
"48","38",Undirected,"1p17-284,1p6-30"
"38","37",Undirected,"1p6-16"
"6","53",Undirected,"1p6-16"
"7","9",Undirected,"1p17-282,1p6-10"
"6","10",Undirected,"1p17-280,1p6-32"
"42","3",Undirected,"1p17-282,1p6-10"
"45","9",Undirected,"1p17-282,1p6-40"
"37","53",Undirected,"1p17-282,2p6-32803"
"15","40",Undirected,"1p17-282,1p6-20,3p17-22"
"8","45",Undirected,"1p17-282"
"74","75",Undirected,"2p17-687"
"39","43",Undirected,"1p17-280,18p6-0,1p6-26,23p6-200"
"28","7",Undirected,"1p17-282,1p6-10,12p6-264"
"17","53",Undirected,"1p17-276,1p6-10"
"26","39",Undirected,"4p17-4,2p17-766,6p6-3254"
"9","42",Undirected,"1p17-282"
"13","23",Undirected,"1p17-280,1p6-20,3p17-12"
"5","16",Undirected,"1p6-10"
"23","42",Undirected,"52p6-4447,1p6-10"
"38","20",Undirected,"1p17-282"
"6","40",Undirected,"1p17-282,1p6-20,3p17-6"
"9","28",Undirected,"1p17-282"
"45","49",Undirected,"33p6-862031"
"39","28",Undirected,"1p17-280,1p6-26,23p6-200"
"23","11",Undirected,"1p6-16"
"34","11",Undirected,"1p17-280,1p6-10"
"57","10",Undirected,"1p6-16"
"17","57",Undirected,"1p17-278,1p6-10"
"21","2",Undirected,"1p17-282,1p6-20"
"51","29",Undirected,"1p17-282,1p6-10"
"46","47",Undirected,"1p17-282"
"15","8",Undirected,"1p17-282"
"27","53",Undirected,"1p6-16,2p6-5876"
"7","43",Undirected,"1p17-284"
"3","8",Undirected,"1p17-228,1p6-30"
"19","9",Undirected,"1p17-280,1p6-10"
"44","50",Undirected,"1p17-284"
"13","6",Undirected,"1p6-10"
"45","18",Undirected,"1p6-30"
"47","34",Undirected,"1p17-282,1p6-16"
"15","51",Undirected,"28p6-6307,1p6-47"
"14","50",Undirected,"1p6-10"
"53","40",Undirected,"3p17-28"
"31","44",Undirected,"11p6-29760,1p17-284,1p6-16"
"40","30",Undirected,"1p17-282"
"8","6",Undirected,"1p6-30"
"39","6",Undirected,"1p17-280,18p6-0,23p6-200"
"20","8",Undirected,"1p6-20"
"13","48",Undirected,"12p6-61712"
"19","48",Undirected,"12p6-34459"
"20","36",Undirected,"4p17-6,1p17-284,1p6-10,2p17-788,6p6-2500"
"36","53",Undirected,"1p6-10,19p6-674,2p6-2839"
"37","8",Undirected,"1p6-10"
"22","18",Undirected,"1p17-282"
"10","47",Undirected,"909p6-28974,1p17-284,1p6-22"
"2","9",Undirected,"1p6-20"
"12","7",Undirected,"12p6-2661"
"50","53",Undirected,"1p17-284,2p6-10795"
"37","16",Undirected,"1p17-280,1p6-10"
"5","7",Undirected,"1p17-284,12p6-264"
"5","53",Undirected,"1p17-282,1p6-20"
"36","57",Undirected,"1p17-274,19p6-722,1p6-10,2p6-2727"
"32","47",Undirected,"1p17-284,1p6-32"
"32","53",Undirected,"1p6-16"
"46","45",Undirected,"1p6-16"
"19","34",Undirected,"1p6-20"
"8","47",Undirected,"1p17-284,1p6-16"
"17","38",Undirected,"1p6-26"
"42","32",Undirected,"1p6-10"
"29","53",Undirected,"1p17-278,1p6-32"
"16","46",Undirected,"1p17-280,9p6-4211"
"43","35",Undirected,"1p17-282,1p6-20"
"12","30",Undirected,"1p17-280"
"16","32",Undirected,"1p17-284,1p6-20"
"22","50",Undirected,"1p17-282,1p6-20"
"14","22",Undirected,"1p17-284"
"13","12",Undirected,"1p17-282,1p6-16"
"21","46",Undirected,"1p17-284"
"22","51",Undirected,"1p17-282,1p6-22,31p6-124857"
"22","7",Undirected,"1p6-20,12p6-200"
"57","5",Undirected,"1p17-284,1p6-10"
"39","24",Undirected,"1p6-10,18p6-0,23p6-200"
"8","2",Undirected,"1p17-282,1p6-10"
"10","16",Undirected,"1p17-284,1p6-32"
"36","27",Undirected,"1p17-282,1p6-20,19p6-472,54p6-380,15p6-508,53p6-380"
"34","20",Undirected,"1p17-284,1p6-10,7p6-5370"
"76","59",Undirected,"73p17-5"
"16","50",Undirected,"1p17-284,1p6-20,19p6-7250,42p6-7165"
"3","9",Undirected,"1p17-280,1p6-20"
"41","1",Undirected,"1p17-282,1p6-20"
"31","33",Undirected,"1p6-16"
"15","77",Undirected,"771p6-357"
"28","12",Undirected,"1p6-10"
"51","7",Undirected,"1p6-30,12p6-17875"
"18","4",Undirected,"1p17-282,1p6-22"
"78","59",Undirected,"73p17-5,74p17-3"
"27","49",Undirected,"1p17-282,1p6-10,33p6-40415"
"43","6",Undirected,"1p17-282,1p6-40"
"57","42",Undirected,"1p17-280,1p6-16"
"49","21",Undirected,"1p17-280"
"1","16",Undirected,"1p17-284"
"24","10",Undirected,"1p17-284,1p6-32"
"9","50",Undirected,"1p17-284,1p6-20"
"49","25",Undirected,"8p6-380"
"41","4",Undirected,"1p17-274"
"48","2",Undirected,"1p6-20"
"12","39",Undirected,"1p17-284,2p17-1220,6p6-8423"
"29","41",Undirected,"1p6-20"
"40","23",Undirected,"19p17-2,48p17-1,47p17-1,23p17-2,71p17-1,1p17-282,3p17-6,385p6-540,68p17-1,36p17-4,51p17-2,43p17-1,35p17-2,14p17-2,60p17-2,41p17-3,72p17-4,15p17-3,55p17-1,38p17-2,56p17-16135,61p17-1"
"16","23",Undirected,"3p17-14"
"53","18",Undirected,"1p17-280,1p6-22"
"36","29",Undirected,"19p6-488,55p6-924"
"21","20",Undirected,"1p17-284,7p6-4947,1p6-10"
"36","15",Undirected,"8p6-614,1p17-282,1p6-20,18p6-5448,19p6-492,15p6-380,13p6-380"
"15","24",Undirected,"771p6-360,770p6-1140,769p6-1007,1p6-30"
"12","38",Undirected,"1p17-278,1p6-30"
"45","42",Undirected,"1p17-284,1p6-10"
"3","22",Undirected,"1p17-284,1p6-30"
"43","49",Undirected,"1p6-32,33p6-1172800"
"47","37",Undirected,"1p6-10"
"33","3",Undirected,"1p6-10"
"7","8",Undirected,"1p17-284,1p6-10"
"35","40",Undirected,"3p17-26"
"41","50",Undirected,"1p17-284,1p6-30"
"45","31",Undirected,"1p6-16"
"40","29",Undirected,"1p17-284,1p6-10"
"11","17",Undirected,"37p6-138,1p17-280,1p6-13,2p17-14724,4p6-1150,6p6-6182"
"48","23",Undirected,"1p17-282,1p6-20,3p17-20"
"5","48",Undirected,"1p17-282,12p6-47952"
"2","14",Undirected,"1p6-20"
"48","15",Undirected,"1p6-10"
"26","17",Undirected,"2p17-766,6p6-3966"
"31","26",Undirected,"1p6-16"
"1","34",Undirected,"1p6-52"
"22","1",Undirected,"1p6-16"
"45","3",Undirected,"1p17-280"
"31","42",Undirected,"52p6-1614,1p17-284,1p6-10"
"5","51",Undirected,"1p17-280"
"42","45",Undirected,"1p6-30,31p6-84002"
"18","23",Undirected,"3p17-22"
"17","37",Undirected,"18p6-1300,1p6-61"
"23","38",Undirected,"1p17-284,1p6-10"
"27","29",Undirected,"1p6-20"
"13","17",Undirected,"4p17-6,1p6-20,2p17-1188,6p6-4623"
"27","51",Undirected,"1p6-30,31p6-44342"
"19","40",Undirected,"3p17-26"
"15","49",Undirected,"43p6-7192,1p17-284,1p6-16,33p6-23524"
"31","27",Undirected,"1p17-282"
"37","4",Undirected,"1p6-16"
"45","48",Undirected,"1p17-282,1p6-10,12p6-30573"
"33","32",Undirected,"1p6-20,3p6-36,29p6-5518"
"46","50",Undirected,"1p6-42"
"1","4",Undirected,"1p6-16"
"17","27",Undirected,"1p6-23"
"28","16",Undirected,"1p17-280"
"28","36",Undirected,"4p17-6,2p17-232,6p6-4232"
"47","33",Undirected,"1p6-49"
"17","43",Undirected,"1p17-282"
"34","19",Undirected,"1p17-282,1p6-30"
"18","11",Undirected,"1p17-282,1p6-16"
"45","16",Undirected,"1p6-10,16p6-76"
"51","24",Undirected,"1p17-280,1p6-10"
"6","12",Undirected,"1p6-30"
"22","30",Undirected,"1p17-280,1p6-20"
"79","80",Undirected,"8p6-609"
"2","28",Undirected,"1p17-282"
"48","57",Undirected,"1p17-282,1p6-10"
"13","29",Undirected,"1p17-280,1p6-16,55p6-1827"
"44","57",Undirected,"1p17-282"
"38","16",Undirected,"1p17-280"
"23","9",Undirected,"1p17-286,1p6-20"
"43","15",Undirected,"1p6-30,15p6-670"
"16","47",Undirected,"1p6-32"
"45","28",Undirected,"1p6-50"
"11","53",Undirected,"1p6-44,2p6-268920"
"12","8",Undirected,"1p17-284,1p6-30"
"48","24",Undirected,"1p6-10"
"34","39",Undirected,"1p6-13,2p17-782,6p6-2561"
"53","23",Undirected,"1p17-282,1p6-10,3p17-28"
"42","25",Undirected,"8p6-383"
"18","22",Undirected,"1p6-32"
"19","20",Undirected,"1p6-10"
"18","27",Undirected,"1p6-26"
"48","28",Undirected,"1p17-284,1p6-20"
"67","81",Undirected,"2302p6-2400"
"23","2",Undirected,"1p17-280,1p6-20"
"11","25",Undirected,"28p6-7064,777p6-460,779p6-27090,8p6-7098,770p6-1442,902p6-1129,905p6-23,43p6-2627,775p6-1393,778p6-1930,903p6-227"
"10","36",Undirected,"2p17-27028,4p6-26428,6p6-6159"
"20","32",Undirected,"1p17-284,1p6-10"
"53","17",Undirected,"4p17-4,2p17-216,6p6-3202"
"44","39",Undirected,"4p17-4,1p17-282,1p6-13,2p17-226,6p6-2395"
"21","17",Undirected,"4p17-6,2p17-814,6p6-1996"
"82","68",Undirected,"2p17-191"
"29","17",Undirected,"1p17-284,1p6-13,2p17-514,6p6-1819"
"24","12",Undirected,"1p6-30"
"15","16",Undirected,"1p6-10,15p6-3018,14p6-3505,13p6-2958,16p6-6931"
"10","35",Undirected,"1p6-16"
"2","33",Undirected,"1p17-282"
"36","12",Undirected,"1p17-284,19p6-498,17p6-760"
"46","5",Undirected,"1p6-16"
"38","13",Undirected,"1p6-16"
"32","27",Undirected,"1p17-284,1p6-10"
"48","9",Undirected,"1p17-284"
"45","14",Undirected,"1p17-284,1p6-20"
"1","8",Undirected,"1p6-16"
"38","26",Undirected,"1p6-10"
"17","24",Undirected,"1p6-26"
"14","37",Undirected,"1p17-283"
"2","7",Undirected,"12p6-224"
"4","51",Undirected,"1p17-282"
"29","28",Undirected,"1p17-284"
"32","31",Undirected,"1p17-284,1p6-36"
"47","28",Undirected,"11p6-13431,1p17-280,1p6-16"
"50","20",Undirected,"1p17-282,1p6-20"
"13","40",Undirected,"1p17-282,3p17-14,1p6-20"
"22","46",Undirected,"1p17-282,1p6-20"
"13","35",Undirected,"1p6-16"
"24","41",Undirected,"1p17-282"
"7","22",Undirected,"1p17-284,1p6-10,7p6-10449"
"51","16",Undirected,"1p17-282,16p6-30"
"23","10",Undirected,"1p17-284"
"34","30",Undirected,"1p17-280,1p6-10"
"83","59",Undirected,"73p17-5,74p17-3"
"24","34",Undirected,"1p6-10"
"43","25",Undirected,"38p6-22,779p6-2229,8p6-379"
"17","34",Undirected,"1p17-282,1p6-39"
"50","31",Undirected,"1p17-282,1p6-16"
"64","84",Undirected,"3p17-6"
"8","48",Undirected,"1p6-10,12p6-384"
"43","16",Undirected,"1p6-20,15p6-423,16p6-91"
"11","3",Undirected,"3p6-6045"
"36","32",Undirected,"1p17-282,1p6-10,19p6-494,17p6-760"
"22","20",Undirected,"1p17-284,1p6-10,7p6-1350"
"10","27",Undirected,"1p17-284"
"8","34",Undirected,"1p17-282"
"102","266",Undirected,"3p17-4"
"85","86",Undirected,"15p6-10770"
"64","55",Undirected,"3p17-8"
"34","13",Undirected,"1p17-284,1p6-42"
"57","9",Undirected,"1p6-16"
"48","31",Undirected,"1p17-282,1p6-16"
"12","40",Undirected,"3p17-14"
"46","51",Undirected,"1p17-280,1p6-10"
"21","1",Undirected,"1p17-14,1p6-32"
"41","33",Undirected,"31p6-34953"
"50","3",Undirected,"1p6-20"
"16","27",Undirected,"1p17-282,1p6-10"
"23","27",Undirected,"1p6-20"
"23","36",Undirected,"5p6-12008,1p6-20,2p17-10442,4p6-1770,6p6-11779"
"7","38",Undirected,"1p17-280"
"19","30",Undirected,"1p6-10"
"9","15",Undirected,"1p17-284"
"57","44",Undirected,"1p6-16"
"24","36",Undirected,"4p17-4,1p6-10,2p17-218,6p6-3312"
"51","11",Undirected,"1p6-32"
"50","47",Undirected,"1p17-282,1p6-80"
"32","43",Undirected,"1p6-10,31p6-722"
"16","42",Undirected,"52p6-2125,1p6-10"
"13","15",Undirected,"1p6-16"
